FNAME,X_COORD,Y_COORD,ADDRRESS,OWNER,COMMDIST,MAP_NO,PIN,CDIST_NO,PARK_ID,AREA_CALC,ACRES_CALC,EMERGUSE,EMERGCAP,SHOWERS,BATHROOMS,KITCHEN,HANDICAPAC,ANIMALS,HRACCESS,TYPE,Contact_Ph,MAP_LEGEND,Website
FLEMING SPORTS COMPLEX,702837.916,1243806.369,1941 LUMPKIN RD,CITY,2,8,110-2-003-00-0,8-Feb,FSC,820479.555,18.82697,,,,,,,,,REC,706-790-9046,30,http://www.augustaga.gov/index.aspx?nid=645
AUGUSTA GOLF COURSE,694062.804,1258591.141,2023 HIGHLAND AVE,CITY,5,4,056-1-002-01-0,4-May,AGC,2780670.012,63.80608829,,,,,,,,,REC,706-731-9411,6,http://www.thepatchaugusta.com/
CENTRAL PARK,706795.812,1262412.375,1140 MERRY ST,CITY,1,13,045-1-234-00-0,13-Jan,CEN,135408.099,3.10711487,,,,,,,,,REC,706-821-2598,19,http://www.augustaga.gov/index.aspx?nid=645
EISENHOWER PARK,704783.862,1278865.812,488 EISENHOWER DR,CITY,7,2,014-0-001-00-0,2-Jul,EIS,1136731.267,26.08377667,,,,,,,,,REC,706-821-2800,27,http://www.augustaga.gov/index.aspx?nid=645
HICKMAN PARK,703637.085,1263537.518,965 HICKMAN RD,CITY,3,7,044-2-051-00-0,7-Mar,HIC,67590.911,1.550961318,,,,,,,,,REC,706-738-2031,37,http://www.augustaga.gov/index.aspx?nid=645
RADFORD PARK,707016.889,1271027.299,3 MILLEDGE RD,CITY,1,7,027-0-002-01-0,7-Jan,RAD,627288.187,14.39394293,,,,,,,,,REC,706-796-5025,56,http://www.augustaga.gov/index.aspx?nid=645
WOOD PARK,695765,1259716.25,1866 HIGHLAND AVE,CITY,5,3,056-2-001-00-0,3-May,WDP,165340.008,3.793941422,,,,,,,,,REC,706-261-0424,66,http://www.augustaga.gov/index.aspx?nid=645
WOOD ST PARK,706797.054,1269600.737,2050 DIVISION ST,CITY,1,8,027-3-025-00-0,8-Jan,WSP,331068.532,7.596797857,,,,,,,,,REC,706-796-5025,67,http://www.augustaga.gov/index.aspx?nid=645
BLOUNT PARK,699554.603,1267485.364,2502 ALLEN ST,CITY,1,2,034-1-063-00-0,2-Jan,BLP,123187.01,2.826686088,,,,,,,,,REC,706-796-5025,14,http://www.augustaga.gov/index.aspx?nid=645
BIG OAK PARK,696083,1267991.5,2803 WHEELER RD,CITY,7,6,033-2-011-00-0,6-Jul,BOP,107376.817,2.463900667,,,,,,,,,REC,706-796-5025,13,http://www.augustaga.gov/index.aspx?nid=645
WOODLAKE PARK,684130.042,1233941.33,2622 CROSSCREEK RD,CITY,4,2,130-0-069-01-0,2-Apr,WLP,226407.635,5.19521751,,,,,,,,,REC,706-771-2980,68,http://www.augustaga.gov/index.aspx?nid=645
SUE REYNOLDS PARK,669920.092,1263985.867,1345 COMMUNITY PARK RD,CITY,3,2,039-0-010-00-0,2-Mar,SUE,208264.788,4.778906303,,,,,,,,,REC,706-796-5025,60,http://www.augustaga.gov/index.aspx?nid=645
WARREN ROAD COMMUNITY CENTER,689312.554,1275194.696,300 WARREN RD,CITY,7,7,017-0-010-00-0,7-Jul,WAR,410774.188,9.425747747,Y,400,Y,Y,Y,Y,N,N,REC,706-806-2833,64,http://www.augustaga.gov/index.aspx?nid=645
TANGLEWOOD PARK,684763.935,1263262.553,3300 TANGLEWOOD DR,CITY,3,4,041-2-133-00-0,4-Mar,TAN,18160.97,0.416727066,,,,,,,,,REC,706-796-5025,61,http://www.augustaga.gov/index.aspx?nid=645
BOYKIN ROAD PARK,686880.575,1223143.672,2345 BOYKIN RD,CITY,6,1,167-0-001-12-0,1-Jun,BOY,100236.534,2.300057584,,,,,,,,,REC,706-771-2980,16,http://www.augustaga.gov/index.aspx?nid=645
EASTVIEW PARK,726335.946,1257334.908,644 AIKEN ST,CITY,1,22,061-4-001-04-0,22-Jan,EAP,200649.901,4.604172822,,,,,,,,,REC,706-722-2302,26,http://www.augustaga.gov/index.aspx?nid=645
HYDE PARK,710161.839,1249516.375,2020 LEONA ST,CITY,2,6,087-4-127-00-0,6-Feb,HYD,208144.439,4.77614473,,,,,,,,,REC,706-796-5025,39,http://www.augustaga.gov/index.aspx?nid=645
WEST VINELAND PARK,702128.401,1272362.737,300 WEST VINELAND,CITY,7,5,019-4-021-00-0,5-Jul,WVN,45270.034,1.038779773,,,,,,,,,REC,706-796-5025,65,http://www.augustaga.gov/index.aspx?nid=645
MINNICK PARK,699908.535,1255099.683,1850 KISSINGBOWER RD,CITY,5,5,071-1-218-00-0,5-May,MNP,161746.079,3.71147406,,,,,,,,,REC,706-796-5025,52,http://www.augustaga.gov/index.aspx?nid=645
BERNIE WARD COMMUNITY CENTER,702502.896,1243416.495,1941 LUMPKIN RD,CITY,2,10,110-2-003-00-0,10-Feb,BWC,820479.555,18.82697,Y,400,Y,Y,N,Y,N,,REC,706-790-0468,11,http://www.augustaga.gov/index.aspx?nid=645
H. H. BRIGHAM PARK,691452.831,1247814.746,2463 GOLDEN CAMP RD,CITY,5,7,096-2-075-00-0,7-May,HHB,499464.902,11.46087147,,,,,,,,,REC,706-796-5025,35,http://www.augustaga.gov/index.aspx?nid=645
MCDUFFIE WOODS PARK,679812.693,1247528.434,3431 OLD MCDUFFIE RD,CITY,4,1,094-0-027-00-0,1-Apr,MCD,512545.84,11.76103061,,,,,,,,,REC,706-771-2656,50,http://www.augustaga.gov/index.aspx?nid=645
MEADOWBROOK PARK,684102.415,1238460.559,3638 MEADOWLARK RD,CITY,5,8,119-0-005-02-0,8-May,MBP,486358.461,11.16012715,,,,,,,,,REC,706-771-2980,51,http://www.augustaga.gov/index.aspx?nid=645
BAYVALE PARK,685337.898,1252535.495,3470 MILLEDGEVILLE RD,CITY,5,6,068-0-074-01-0,6-May,BAY,558443.155,12.81420416,,,,,,,,,REC,706-796-5025,9,http://www.augustaga.gov/index.aspx?nid=645
GRACEWOOD PARK,694862.819,1227614.427,2309 TOBACCO RD,CITY,4,3,155-0-002-01-0,3-Apr,GRP,298002.504,6.838054859,,,,,,,,,REC,706-796-5025,34,http://www.augustaga.gov/index.aspx?nid=645
