CHURCHES_,CHURCHES_ID,PIN,OWNER_NAME,PROP_ADDR,BILL_ADDR,CITY_STATE,ZIP,EXEMPTCODE,ZONING,DENOMINATION,DENOM
51,12009,0342036000,CUMMING GROVE BAPTIST CHURCH,2263 GARDNER ST,2289 GARDNER ST,AUGUSTA GA,30904,E2,01,BAPTIST,BAPTIST
52,12044,0342035000,CUMMING GROVE BAPTIST CHURCH,2265 GARDNER ST,2289 GARDNER ST,AUGUSTA GA,30904,,01,BAPTIST,BAPTIST
77,14754,0364085000,SPRINGFIELD BAPTIST CHURCH,JONES ST,114 TWELFTH ST,"AUGUSTA, GA",30901,E2,01,BAPTIST,BAPTIST
78,14994,0344061100,REID MEMORIAL PRESBYTERIAN CHURCH,11 BRANSFORD PL,2261 WALTON WAY,"AUGUSTA, GA",30904,,01,PRESBYTERIAN,PRESBYTERIAN
79,15053,0364273000,CURTIS BAPTIST CHURCH,1348 ELLIS ST,1326 BROAD ST,AUGUSTA GA,30901,E2,01,BAPTIST,BAPTIST
80,15087,0364270000,CURTIS BAPTIST CHURCH,1340 ELLIS ST,1326 BROAD ST,AUGUSTA GA,30901,E2,01,BAPTIST,BAPTIST
81,15138,0364269000,CURTIS BAPTIST CHURCH BY TRS,1338 1/2 ELLIS ST,1326 BROAD ST,"AUGUSTA, GA",30901,E2,01,BAPTIST,BAPTIST
82,15166,0364268000,CURTIS BAPTIST CHURCH BY TRS,1336 ELLIS ST,1326 BROAD ST,"AUGUSTA, GA",30901,E2,01,BAPTIST,BAPTIST
83,15276,0364273010,CURTIS BAPTIST CHURCH,1359 GREENE ST,1326 BROAD ST,AUGUSTA GA,30901,E2,01,BAPTIST,BAPTIST
84,15298,0364258000,CURTIS BAPTIST CHURCH,1355 GREENE ST,1326 BROAD ST,AUGUSTA GA,30901,E2,01,BAPTIST,BAPTIST
85,15719,0364280000,GREENE ST PRESBYTERIAN CHURCH,1235 GREENE ST,1235 GREENE ST,"AUGUSTA, GA",30901,E2,01,PRESBYTERIAN,PRESBYTERIAN
86,15841,0353373000,AUGUSTA PREM BAPTIST CHURCH,802 METCALF ST,802 METCALF ST,"AUGUSTA, GA",30904,E2,01,BAPTIST,BAPTIST
87,15928,0344105000,FIRST SOUTHERN METHODIST CHURCH,921 JOHNS RD,927 JOHNS RD,AUGUSTA GA,30904,E2,01,METHODIST,METHODIST
88,15941,0353395000,"AUGUSTA PRIMITIVE BAPTIST CHURCH, BOARD OF TRUSTEES",804 METCALF ST,802 METCALF ST,AUGUSTA GA,30904,E2,01,BAPTIST,BAPTIST
